name,context,code,level,type,text,extract,rel
八道江区,"[吉林省, 白山市]",220602,3,just_name_change,八道江区历史沿革编辑清光绪二十八年（1902年）临江建县，逐改猫耳山巡检为道江巡检；1906年改八道江巡检为县佐，驻八道江，协助县府管理八道江一带各项事务。1903年为镇江村；1935年更名为八道江镇；1936年为八道江街；1947年为临江县第六区；1956年又成立八道江镇；1960年浑江市治所在地；1985年4月1日，实行市管县体制后，建立八道江区为县级建制。2010年2月22日，民政部《关于吉林省白山市八道江区更名为浑江区的批复》（民函[2010]40号）：经国务院批准，同意白山市八道江区更名为浑江区。八道江区人口民族编辑2005年末，全区总人口336543人，比上年增加1992人，增长0.6%。其中男性：172504人，女性：164039人，性别比为105.2（以女性为100）。非农业人口达到269456人。全区人口出生率为6.20‰，人口死亡率为3.32‰；人口自然增长率为2.88‰。有汉、回、满、朝鲜、壮、藏、蒙古、锡伯等多民族组成。,2010年2月22日，民政部《关于吉林省白山市八道江区更名为浑江区的批复》（民函[2010]40号）：经国务院批准，同意白山市八道江区更名为浑江区,更名
铜山区,"[江苏省, 徐州市]",320312,3,add,铜山区建制沿革编辑铜山历史悠久，尧封颛顼后裔篯铿（彭祖）于此，称大彭氏国，距今4000余年。大彭氏国历经夏代，至商末为商所灭，纣王封其臣崇侯虎改建为崇国。周代在此建吕国。春秋时，吕亡于宋，为宋彭城邑，即为称彭城之始。周简王十三年（公元前573年），楚、郑伐宋，占领彭城，封鱼石于彭城。次年，鲁、晋围彭城，诛鱼石，彭城复归宋。周赧王二十九年（公元前286年），齐、楚、卫联合灭宋，彭城属楚。(20张)公元前221年，秦统一六国，实行郡县制，改彭城邑为彭城县。汉朝建立后，刘邦封其弟刘交为楚王，建立楚国，定都彭城。自此彭城先后为楚国国都和彭城国国都。东汉献帝时，曹操将徐州刺史部由郯城移治彭城，彭城始称徐州。三国，彭城属魏，曹魏划分天下为12州。西晋时分全国为19州郡，徐州刺史治彭城，彭城县为徐州彭城国7县之一。东晋安帝义熙七年在今镇江设立“徐州”，原徐州改称“北徐州”。南朝宋武帝永初二年（421年），改侨置的徐州为“南徐州”，北徐州复为“徐州”，治彭城。彭城郡领彭城等5县。北魏占领淮北后置徐州，徐州治彭城，辖彭城等7郡，彭城县为彭城郡6县之一。东魏、北齐承北魏建置。隋文帝开皇三年（583年）废郡，彭城县直隶徐州。炀帝大业三年（607年），改州为郡，铜山国分19郡，彭城县为彭城郡所领11县之首。唐高祖武德四年（621年），全国置10道，彭城县属河南道徐州。玄宗天宝元年（742年），徐州复为彭城郡，仍辖彭城等7县。肃宗乾元元年（758年）再改为徐州。五代时期仍称徐州彭城县。北宋太宗至道三年（997年），分全国为15路，实行路、行、县三级制，徐州属京东路，领彭城等5县。公元1127年宋室南迁，淮北为金占领，彭城县仍为徐州所辖。元代在全国设行省11，路185。徐州属河南省汴梁路，领彭城、萧、永固3县。世祖至元二年（1265年），彭城县并入徐州，降徐州为下州，属河南省归德府汴梁路。元顺帝至正八年（1348年），升徐州为总管府，亦称徐州路。至正十三年，改徐州为武安州。明初，武安州复改称徐州，属中立府（即凤阳府）。洪武十四年（1381年），徐州直隶京师（南京）。明代徐州为直隶州，州境相当于今天徐州市区、贾汪区范围，另辖丰、沛、萧、砀4县。清初，分全国为18省，徐州初属江南布政司（即省）。康熙六年（1667年），属江苏布政司。雍正十一年（1733年），升徐州为府，增置铜山县，铜山县为徐州府附郭，因当时境内微山湖中的铜山岛而得名。清雍正“以旧州境增设铜山县为府治”后，到抗战胜利，历212年间，将铜山第一区析置徐州市。可见，今之徐州市数千年中只是古老铜山县的一部分。民国初年（1911年），废府留县，铜山县直隶江苏省。民国3年（1914年）江苏省5道，徐海道尹公署驻铜山县，辖铜山等12县。民国17年废徐海道，铜山等8县直隶江苏省。民国20年，设徐州行政督察区，治铜山县。民国22年，江苏省划分为13个行政区，原徐属8县除宿迁外，均划归第十二行政区，行政区督察专员由铜山县长兼摄。民国27年5月徐州沦陷后，铜山境内有国民党铜山县政权，日伪铜山县政权和抗日民主县政权，三方政权并存。1939年2月19日，日伪华北政务委员会宣布将铜山县九区中的第一区（约今天徐州市鼓楼、泉山、云龙区）析置徐州市，第一任徐州市市长是张伯英之族叔张云生。从此徐州市第一次独立于铜山县而成为与县级政权平行的地方政权，不同于市管县。1948年12月1日，铜山解放，境内有铜山、邳睢、萧宿铜、铜北4个县的建置和徐州市郊区。1949年4月，铜山县划归徐州市所辖，隶山东省。建国后，铜北县隶山东省台枣专区，1950年5月台枣专署撤销后，隶滕县专区。1952年5月铜山县撤销。1953年4月撤销铜北、华山、邳睢3县，以铜北县为基础恢复铜山县建置，归隶江苏省徐州专区。1960年5月，铜山县划归徐州市领导，1962年6月25日铜山县复归隶徐州专区。1983年3月实行市管县新体制，徐州专区撤销，铜山县隶属徐州市。2010年铜山县改为铜山区。铜山区地理环境编辑铜山区位置境域铜山位于江苏省西北部，淮海经济区的中心，地处东经116°43′—117°42′、北纬34°01′—34°35′之间。北部与山东省微山县、枣庄市为邻，南部与西南部接安徽宿州市、灵璧县、萧县，东部与邳州市、睢宁县交界，西北部与丰县、沛县毗邻。铜山区境东西长64.5公里，南北长61.5公里，总面积1877平方公里。铜山区地貌铜山区西北、东南系黄泛冲击平原，地势平坦，河道纵横，田园平整。东北、西南和东南部分地区为丘陵地区，是沂蒙山区南缘的剥蚀残丘。京杭大运河横贯北部，废黄河自西北而东南穿越区境，构成“三片平原三片山、黄河故道一高滩”的地貌特征。铜山区内西北片、东片以及东南片为平原，东南片废黄河堤下冲积平原地势较为平坦，自西向东缓倾，地面高程（以废黄河基面为水准零点）30～28左右，地面坡降万分之一。西北和东片平原地面高程39～27左右，地面坡降自西向东八千分之一左右。废黄河高滩是历史上黄河泛滥而成。地势高而平坦，高出两岸地面5～7米，自西北向东南，地面高程45～35米，地降七千分之一。滩面4～10公里。铜山区境内有700余座山头，分布于东北、西南和东南三片。山丘海拔高程在50～200米之间，平均坡度小于9度，属鲁中南剥蚀山丘的南缘。其特点是：山头孤立成片，山体矮小，低山缓丘，高低不平，不成山脉，山基线高程一般为50米。铜山区气候铜山区地处黄泛冲积平原与低丘陵相间地带，属暖温带湿润和半湿润的季风气候。铜山区年太阳辐射总量119.4千卡/平方厘米，平均日照时数2283小时，平均降水量868.6毫米，无霜期平均为210天。在中国气候图集上，属南温带的鲁淮区，具有长江流域和黄河流域的过渡性质。其主要特征是气候温和，光照充足，降水量较为充沛，四季分明。年均气温13.9℃，1月最冷，月均气温-0.4℃；7月最热，月均气温26.8℃。春季（3～5月）以冷、干、多风天气为主，后春回暖快。夏季（6～8月）天气炎热多雨。秋季（9～11月）凉爽，光照多。冬季（12月～次年2月）受冷空气影响，以少雨寒冷天气为主。铜山区水文铜山区境内主要河流有京杭大运河、废黄河、郑集河等。地下水主要分为松散岩类孔隙水和碳酸盐岩类岩溶水，分布面积大。铜山区自然资源编辑铜山区动物资源2015年，铜山区有野生动物300余种，珍贵动物资源有水貂、黄鼠狼、野鸭、狗獾、土鳖、铜山蝎、水蛭等。铜山区植物资源2015年，铜山区境内植物有130余科、320余属，计600余种。珍贵植物资源有软籽石榴、玫瑰花、山楂、韭黄等。铜山区矿藏资源铜山区自古“地产坚金”，2015年，已探明的矿产资源煤、铁、铜、石灰石、白云岩、石英砂岩、大理石、粘土等21种，其中，煤炭储量18亿吨；铁矿石储量1亿吨；石灰岩储量25亿吨；白云岩储量5亿吨；耐火粘土储量12亿吨。,2010年铜山县改为铜山区,撤县（市）设区
九里区,"[江苏省, 徐州市]",320304,3,del,-,-,
宣武区,"[北京市, 宣武区]",110104,2,del,宣武区历史沿革编辑2000年，宣武区辖9个街道。总人口526132人，各街道人口： 大栅栏街道 42973 天桥街道 45679 椿树街道 39874 陶然亭街道 53373 广内街道 80552 牛街街道 47210 白纸坊街道 85374 广外街道 113155 清河街道 17942 （根据第五次人口普查数据；单位：人）2002年，宣武区辖8个街道：大栅栏街道、天桥街道、椿树街道、陶然亭街道、广安门内街道、牛街街道、白纸坊街道、广安门外街道。2005年，宣武区辖8个街道：白纸坊街道、大栅栏街道、椿树街道、广内街道、广外街道、牛街街道、陶然亭街道、天桥街道。共有108个社区。宣武区是北京市中心城区之一，位于市区西南部。面积16.53平方公里，人口56万，有汉、回、满、蒙古等38个民族，牛街地区是著名的回族群众聚居地。宣武区已有3000多年的历史，作为六朝古都之始的金中都，即在现今的宣武境内。明清时期宣武作为外城，由于特有的地理位置和深厚的历史积淀，孕育了老北京平民文化、商业文化、戏曲文化的繁荣，形成了独具特色的宣南文化。宣武区人文旅游资源丰富，民俗特色鲜明。琉璃厂集士文化、书肆、文物于一体，素为老北京风情的窗口。具有千年历史的牛街礼拜寺闻名于国内外。起于明清的300多处会馆以湖广会馆、安徽会馆最为著名，是一幅幅带有地域特色的民俗画。八十年代末，依据古典文学名著《红楼梦》建造的北京大观园已成为中国最佳旅游景点之一。2010年7月，国务院批复同意，撤销北京市西城区、宣武区，设立新的北京市西城区，以原西城区、宣武区的行政区域为西城区的行政区域。至此，宣武区已成为历史。宣武区地理概况编辑宣武区位于北京城中心——天安门的西南部，东与崇文区相邻，西、南两面与丰台区交界，北与西城区、海淀区接壤。它东接天安门广场，西临北京西客站，南面是二环路，北有城市地铁主干道，西厢路与京开、京石、京张三条国道相连，是辐射京南的重要门户。宣武区地域略呈长方形，东西点最长距离为6.61公里，南北点最长距离为3.5公里，边界线总长为19.33公里，总面积为19.04平方公里。宣武区属暖温带半湿润、半干旱季风大陆性气候。一年四季虽然分明，但时间并不均等。冬、夏季较长，春、秋季较短。,2010年7月，国务院批复同意，撤销北京市西城区、宣武区，设立新的北京市西城区，以原西城区、宣武区的行政区域为西城区的行政区域,合并
崇文区,"[北京市, 崇文区]",110103,2,del,崇文区历史沿革编辑周时，古蓟城在今广安门一带。区境位于燕国蓟城东南郊。秦始皇帝二十六年（前221年）统一六国后，区境属广阳郡蓟县。西汉属燕国蓟县。东汉末，属幽州广阳郡蓟县。隋大业初，改幽州为涿郡，区境属涿郡蓟县。唐武德元年（618年），涿郡复名幽州，区境属幽州蓟县。辽（契丹）会同元年（938年），改幽州为幽都府，建号南京，并定为辽代的陪都。改蓟县为蓟北县。区境位于南京城之东郊，属蓟北县。开泰元年（1012年）改南京为燕京，改幽都府为析津府，改蓟北县为析津县。区境属析津县。宋宣和四年（1122年）置燕山府路燕山府，区境为燕山府析津县地。金贞元元年（1153年），迁都至燕京，改燕京为中都，改析津府为大兴府，改析津县为大兴县，区境为大兴府大兴县地。元代在金中都的东北郊营建新城名大都。至元二十一年（1284年）置大都路总管府。区境属大都路大兴县地。明洪武元年（1368年）改大都路为北平府。永乐元年（1403年）改北平府为顺天府，名北京。永乐十九年（1421年）迁都北京。嘉靖三十二年（1553年），增建外城垣，区境大部分圈人外城之内，属顺天府大兴县管辖。明代北京内外城分设若干“坊”，境内有正东坊、崇北坊、崇南坊。清顺治元年（1644年）在北京外城设中、东、西、南、北五城。境内有东城、南城全部和中城的东半部。光绪三十一年（1905年）北京内外城分设巡警总厅，并将内外城改划为几十个警区。外城设20个警区，后并为10个警区，境内有外左一区至外左五区及外右五区东部。辛亥革命后，1914年原顺天府改置京兆地方。区境属京兆地方大兴县管辖。1928年废京兆地方，北京改名北平，划为特别市，后又改为北平市。行政区划包括内城6个区，外城5个区，郊区4个区。区境归北平市管辖，不再属大兴县。境域为外一区、外三区全部，外五区东半部及东郊区、南郊区各一部分。日本侵略者占领时期，日伪将北平改为北京。1945年抗战胜利后，恢复北平名称，并将北平东、西、南、北四个郊区，划为八个郊区。区境为北平市的第八区（外一区）和第十区（外三区）全部、第十二区（外五区）东部，及郊二区和郊三区各一部分。1949年1月31日，北平和平解放。9月，北平改称北京。解放初，城区划分为12个区，外城包括八、九、十、十一、十二5个区。境内有第八区（外一区）、第十区（外三区）全部及第十二区（外五区）的东半部。1950年5月，城区区划调整，12个区合并成9个区，外城有第六、七、八、九4个区。原第八区与原第九区合并，成为第六区，第十区改称第七区，第十二区改称第九区。区境包括第七区全部及第六区第九区的东半部。第七区北界为崇文门和以东的城墙，外城的东城墙是其东界，南界是左安门和其东西城墙，西界北段以崇文门外大街为界，西与第六区为邻，南段以磁器口、红桥、天坛东坛墙为界与新第九区相望。1952年9月，第七区更名为崇文区。第九区建制撤销，其东半部划入崇文区。区界东、北和西界北段及南界东段不变，西界南段则伸展到东珠市口以南至永定门一线，南界西段延至永定门外关厢及其以东之城墙。1955年8月，北京市人民委员会（简称市人委）将原东郊区管辖的广渠门关厢，福州义园北墙外土道北和东便门外大桥以东一带划归崇文区。是月，经市人委批准，南苑区杨家园乡12个自然村划归崇文区。1957年10月，彭庄（永定门火车站）地区划归崇文区。区界北、西不变，其南界推至东起刘家窑、沙子口，西至北京南站一线。1958年6月，市人委撤销前门区（原第六区）建制，该区东半部，从前门向南，沿前门大街西侧至珠市口以东，划归崇文区。2010年，国务院正式批复了北京市政府关于调整首都功能核心区行政区划的请示，同意撤销北京市崇文区、东城区，设立新的东城区，以原崇文区、东城区的行政区域为新的东城区的行政区域。崇文区成为历史。,2010年，国务院正式批复了北京市政府关于调整首都功能核心区行政区划的请示，同意撤销北京市崇文区、东城区，设立新的东城区，以原崇文区、东城区的行政区域为新的东城区的行政区域,合并
共青城市,"[江西省, 九江市]",360482,3,add,-,-,
文山市,"[云南省, 文山壮族苗族自治州]",532601,3,add,文山历史沿革编辑(17张)建制已有2000多年的历史。公元前111年西汉王朝置郡县时就已纳入牂牁郡，进桑二县辖地。到西汉元封二年（公元前109年），另设贲古县时，县境西部归属贲古县。东南部为梦都、进桑二县地。县名从《易经》的“贲”和“大畜”二卦推演而得，即“取诸贲而得文之源，取大畜而知山之固”，改名文山县。清雍正八年（1730年）裁开化通判，设文山县，属开化府，辖区为开化府所设开化、永平、安南、王弄、东安、乐龙、逢春、江那八里，后从乐龙分新现共九里，里下设甲、牌，均属原三长官司所属地。嘉庆二十五年（1820年）改马白同知为安平厅，分管逢春、永平、东安三里，文山县辖六里。民国1年（1912年）成立县公署，2年（1913年）划分南区设靖边行政区。1914年复名文山县。2010年12月2日，经国务院批准，同意决定撤销文山县，设立文山市。撤县设市后，原文山县行政范围为文山市的行政区域，隶属关系不变。,2010年12月2日，经国务院批准，同意决定撤销文山县，设立文山市,撤县设市
文山县,"[云南省, 文山壮族苗族自治州]",532621,3,del,文山历史沿革编辑(17张)建制已有2000多年的历史。公元前111年西汉王朝置郡县时就已纳入牂牁郡，进桑二县辖地。到西汉元封二年（公元前109年），另设贲古县时，县境西部归属贲古县。东南部为梦都、进桑二县地。县名从《易经》的“贲”和“大畜”二卦推演而得，即“取诸贲而得文之源，取大畜而知山之固”，改名文山县。清雍正八年（1730年）裁开化通判，设文山县，属开化府，辖区为开化府所设开化、永平、安南、王弄、东安、乐龙、逢春、江那八里，后从乐龙分新现共九里，里下设甲、牌，均属原三长官司所属地。嘉庆二十五年（1820年）改马白同知为安平厅，分管逢春、永平、东安三里，文山县辖六里。民国1年（1912年）成立县公署，2年（1913年）划分南区设靖边行政区。1914年复名文山县。2010年12月2日，经国务院批准，同意决定撤销文山县，设立文山市。撤县设市后，原文山县行政范围为文山市的行政区域，隶属关系不变。,2010年12月2日，经国务院批准，同意决定撤销文山县，设立文山市,撤县设市
潞西市,"[云南省, 德宏傣族景颇族自治州]",533103,3,just_name_change,芒市历史沿革编辑(3张)傣族土目领地。公元前425年，“勐掌”（保山盆地）傣族土目号召傣族各部组建联盟国家“勐达光”（汉译“哀牢国”），“勐焕”傣族土目加盟“勐达光”（哀牢国）。公元69年，“勐达光”（哀牢国）归附汉朝、其地置永昌郡；今芒市属永昌郡哀牢县。公元77年，“诏达光”（哀牢王）反汉失败后，到怒江以西重组联盟国家“勐达光”（汉译“掸国”），先后在“勐勉”（腾冲）、“勐辣”（盈江）、“勐卯”（瑞丽）、“蒲甘姆”（缅甸中部）建立都城；今芒市属“勐达光”（掸国）。公元586年，“勐达光”（掸国）被骠人所灭，“勐卯”（瑞丽江河谷盆地）的傣族头人联合周边的傣族“勐”（邦、国）组建联盟国家““勐果占璧”（前果占壁国）抗击骠人、继承了“勐达光”的版图；今芒市属“勐果占璧”（前果占壁国）。公元762年，“蒙舍龙”（南诏国）吞并澜沧江以西各部及“勐果占璧国”（前果占璧国）所属各部、仿唐朝制度置永昌节度和镇西节度；今芒市属“蒙舍龙”（南诏国）永昌节度。公元954年，“勐果占璧”（后果占璧国）复国，尊大理国为“勐货相”（宝石之国）、自称“勐货罕”（金子之国）；今芒市属“勐果占璧”（后果占璧国）。公元1261年，大蒙古国招抚澜沧江以西各类土目设金齿等处安抚司，“勐果占璧”（后果占璧国）等于解体；公元1271年，金齿等处安抚司分设东路安抚使（镇康路安抚使）和西路安抚使（建宁路安抚使）；今芒市属金齿等处安抚司东路安抚使辖地。公元1278年，元朝（原大蒙古国）裁金齿等处安抚司，原东路安抚使辖地设镇康茫施柔远等路宣抚司，下辖镇康、茫施、柔远等路；今芒市属茫施路。公元1286年，裁镇康茫施柔远等路宣抚司和镇西平缅麓川等路宣抚司、辖地并入大理金齿等处宣抚司（后改大理金齿等处宣慰司都元帅府）；今芒市仍属茫施路。公元1312年，“勐卯”（瑞丽江河谷盆地）傣族土目思汗法兼并周边地区、建立“勐卯弄”（汉译“麓川国”）；今芒市属“勐卯弄”（麓川国）。公元1355年，“勐卯弄”（麓川国）归附元朝、其地设平缅宣慰司；今芒市属平缅宣慰司。公元1384年，“勐卯弄”（麓川国）归附明朝、其地设麓川平缅宣慰司；公元1400年以后，明朝逐步“析麓川地”（使麓川平缅宣慰司仅剩今梁河南部、芒市、陇川、瑞丽及缅甸木姐、南坎等地）；公元1428年，麓川平缅宣慰司脱离明朝、恢复“勐卯弄”（麓川国）向周边扩张；公元1439年，“勐卯弄”（麓川国）击败明军，占领澜沧江以西“祖地”；公元1441年、1442年、1448年，明朝倾半国之力“三征麓川”；芒市土目刀放革在明朝一征麓川时投明军；公元1443年，明朝置芒市御夷长官司、授刀放革长官之职；公元1444年，明朝将“勐卯弄”（麓川国）政权逼至“孟养”（今缅甸克钦），另立陇川宣抚司（辖今陇川、遮放、瑞丽、木姐、南坎等）；今芒市分属芒市御夷长官司（芒市坝）、陇川宣抚司（遮放坝）。公元1584年，分陇川宣抚司地置遮放副宣抚司（今芒市遮放镇、瑞丽市畹町镇）；公元1640年，芒市御夷长官司升格为芒市安抚司。公元1770年，清朝在潞江安抚司地设“龙陵厅”，潞江安抚司、芒市安抚司、遮放副宣抚司由龙陵厅代永昌知府节制；(6张)民国政府云南省滇西道观察使在芒市安抚司、勐板土千总之上设芒板弹压委员，在遮放副宣抚司、勐卯安抚司之上设遮卯弹压委员。公元1915年，取消芒板弹压委员、遮卯弹压委员，芒市安抚司、遮放副宣抚司、勐板土千总之上设芒遮板行政委员。公元1932年，撤芒遮板行政委员、成立芒遮板设治局（治地勐嘎）；公元1934年，芒遮板设治局改称潞西设治局；公元1936年，原3土司辖地分别置区、下设乡（镇），潞西设治局共辖3区、24乡、4镇。公元1949年，裁潞西设治局、设潞西县（治地芒市），芒市土司代办、设治局长方克胜任县长。公元1950年，中国人民解放军陆军14军41师121团进驻芒市，随解放军一同到达的军政代表团接管了潞西县国民政府，建立潞西县人民政府，隶属保山专区。公元1952年，潞西县划出畹町镇，辖3区24乡（镇、街）。公元1953年，潞西县划属德宏泰族&#132000;颇族自治区。公元1954年，高埂田等7个乡从梁河县划入潞西县。公元1956年，德宏泰族&#132000;颇族自治区改为德宏傣族景颇族自治州，潞西县属德宏州，辖9区（站）61乡（镇）。公元1958年，潞西县重新划分为15个人民公社，县辖曼令等8寨划归畹町镇；公元1959年，县辖莫里等15寨划归瑞丽；公元1960年，县辖崩补乡50%乡域划归陇川县。公元1969年11月，撤销德宏傣族景颇族自治州，潞西县划归保山地区。公元1971年，恢复德宏傣族景颇族自治州，潞西县划归德宏傣族景颇族自治州。公元1984年，人民公社改区、乡；公元1987年，改区、乡为乡（镇）、村公社（办事处），辖4镇11乡84个行政村（办事处）。公元1996年10月28日，撤销潞西县、设县级潞西市。(6张)公元2004年，增设芒市经济开发区居委会；潞西市辖7镇8乡，80个村委会、5个居民委员会。公元2005年11月，城郊镇、象滚塘乡合并为芒市镇，法帕镇、风平镇合并为风平镇，东山乡、遮放镇合并遮放镇；潞西市辖5镇6乡。公元2005年12月，潞西市成立工业园区管委会。公元2007年12月，分芒市镇辖区置勐焕街道办事处；潞西市辖80个村民委员会、13个社区居委会。公元2010年07月，潞西市更名为芒市。,公元2010年07月，潞西市更名为芒市,更名
蒙自市,"[云南省, 红河哈尼族彝族自治州]",532503,3,add,蒙自历史沿革编辑蒙自已有上万年人类繁衍活动史、2100多年建县史。“蒙自”，一说以县西坝子边缘目则山而得名，汉语讹为蒙自。一说目则为昧则目音转，系蛮语，意为山竹。一说系苗语“苗族之家”之意。西汉元封二年（公元前109），置贲古县，属益州郡所辖24县之一。(10张)东汉属益州益州郡贲古县，三国蜀汉属益州兴古郡贲古县，两晋至南朝梁属宁州兴古郡贲古县。北朝周属南宁州。隋属南宁州总管府。唐初属剑南道戎州，唐南诏国属通海都督府辖地，宋大理国属秀山郡目则。元宪宗七年（1257）置蒙自千户，属阿僰万户；至元十三年（公元1276），改置蒙自县至今，隶属临安广西元江宣慰司临安路。明为蒙自县，隶属临安府。清初沿明制，为蒙自县，隶属临安府。雍正八年（1730）7月，临安府属迤东道；乾隆三十一年（1766）10月，临安府属迤南道；中法战争（1883～1885年）结束后，光绪十三年（1887）10月，为适应对外通商需要，清廷与法国在北京签订《中法续议商务专条》，指定开广西龙州和云南蒙自为通商处所，蒙自成为中法之间的“约开商埠”。同年，清廷在蒙自设分巡临安开广道，下辖临安府（今建水县一带）、开化府和广南府（均属今文山州一带），兼管即将正式开关的蒙自海关关务。由此，蒙自成为云南近代史上的滇东南军事、政治中心。光绪十五年（1889），蒙自海关落成并正式开关，这是近代云南第一个海关，也是近代中国21大海关之一。民国初年属蒙自道，为道尹驻地。民国十八年（1929），废道后直属云南省。民国三十一年（1942），属云南省第三行政督察区（驻建水县）。民国三十七年（1948），属云南省第五行政督察区（驻建水县）。,-,撤县设市
